;;;SON GÜNCEL TARİH:;08,01,2024;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;PALET NO;MARKA;TİP;RENK;RENK KODU ;PARTİ NO;SERİ  NO;TIP;TOP SAYISI;EN (m);"TOP
 UZUNLUĞU 
(m)";"TOPLAM
UZUNLUK";ALAN (m2);PROJE;DURUM;NOTE;SAHİBİ;BEDEL;TUTAR
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;11C;VERSAİDAG;TXA 900FPURE;BEYAZ;B6617(13)  ;;;TP2;1;2,50;130;130;325,0;BATUM STAD;STOK;;AG;;
;11D;VERSAİDAG;TXA 900FPURE;BEYAZ;B6617(13)  ;;;TP2;2;2,50;200;400;1.000,0;BATUM STAD;STOK;;AG;;
;11E;VERSAİDAG;TXA 900FPURE;BEYAZ;B6617(13)  ;;;TP2;3;2,50;200;600;1.500,0;BATUM STAD;STOK;;AG;;
;;;;;;;;;;;;;;;;;;;
;14;Ferrari;702;Beyaz;8604S2;200000744250;3,00002E+11;1;1;2,67;50;50;133,5;SMC VİNGOLES;;;SMC;;
;14;Ferrari;702;Beyaz;8604S2;200000744250;3,00002E+11;1;1;2,67;50;50;133,5;SMC VİNGOLES;;;SMC;;
;14;Ferrari;702;Beyaz;8604S2;200000744250;3,00002E+11;1;1;2,67;30;30;80,1;SMC VİNGOLES;;;SMC;;
;7;FERRARİ;602 BLACK AUT ;8503;;;;602;6;2,67;50;300;801,0;;;;;;
;7;FERRARİ;602 BLACK AUT ;8503;;;;602;1;2,67;44;44;117,5;KİRALIK SİSTEM ;;;STRATEJİM;;
;7;FERRARİ;602 BLACK AUT ;8503;;;;602;1;2,67;42;42;112,1;KİRALIK SİSTEM ;;;STRATEJİM;;
;;;;;;;;;;;;;;;;;;;
;14;FERRARİ;FERRRİ 1302 S2;BEİGE SABLE;2135S2;1000050465;2,00001E+11;4;1;1,80;15;15;27,0;MONNAIE;STOK;;AG;;
;14;FERRARİ;FERRRİ 1302 S2;BEİGE SABLE;2135S2;1000050465;2,00001E+11;4;1;1,80;250;250;450,0;MONNAIE;STOK;;AG;;
;14;FERRARİ;FERRRİ 1302 S2;BEİGE SABLE;2135S2;1000050465;2,00001E+11;4;1;1,80;250;250;450,0;MONNAIE;STOK;;AG;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;Mehler;Valmex FR1400 Mehatop F1;K Beyaz;958958;56837;1396890112;4;1;2,50;40;40;100;ABASTRAN;STOK;;AG;;
;;;;;;;;;;;;;;;;;;;
;;Ferrari;Flexlıght 702;Beyaz;8604S2;100000099300;2,00001E+11;1;1;2,67;65;65;174;SMC DAUVİN;STOK;;SMC;;
;;Ferrari;Flexlight 1002;BEYAZ;8636S2;3217559;2,00001E+11;1;1;2,67;14;14;37;ABASTRAN;STOK;;AG;;
;;Ferrari;Flexlight Advanced 1202;BEYAZ;8636S3;1000062022;2,00001E+11;1;1;2,67;85;85;227;İSKOÇYA;STOK;;AG;;
;;;;;;;;;;;;;;;;;;;
;;Ferrari;Flexlıght Advanced 902;Beyaz;8636S2;1000053897;20000865627;2;1;2,67;98;98;262;BEGLES;STOK;;SMC;;
;;;;;;;;;;;;;;;;;;;
;;Gül Branda;;Siyah;GBS24;10988;;;1;3,00;10;10;30;;;;AG;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;VERSEİDAG;F 900 (TX) PVC;KREM;B4616(34);40999 95;51899136A03;2;1;2,50;300;300;750,0;Antalya Tır Parkı;STOK;;AG;;
